acc_x,acc_y,acc_z,v_dc,i_dc,v_ac,i_ac,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
7.3622016,4.4479968,2.1473088,0.557197265625,5.223655700683594e-05,0.2323046874999999,6.746292114257814e-06,18.02,25.5,215.82,65.49,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.668960000000001,4.4479968,2.5307568,0.52732421875,4.8574447631835935e-05,0.22599609375,6.380081176757814e-06,18.03,25.560000000000013,215.73999999999998,65.47,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.899028800000001,4.4479968,2.7608256,0.543466796875,6.395530700683595e-05,0.2183886718749999,6.746292114257814e-06,18.04,25.63,215.64,65.44,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.9757184,4.4479968,2.6841360000000005,0.55033203125,5.480003356933594e-05,0.2148632812499999,7.478713989257815e-06,18.05,25.700000000000017,215.56999999999996,65.38999999999997,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.899028800000001,4.4479968,2.8375152,0.51322265625,5.187034606933594e-05,0.20484375,7.112503051757814e-06,18.06,25.79999999999999,215.44,65.24000000000001,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.9757184,4.3713072,2.6841360000000005,0.5573828125,5.882835388183594e-05,0.201875,5.281448364257813e-06,18.07,25.840000000000003,215.43,65.16999999999999,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.668960000000001,4.1412384,2.5307568,0.540869140625,5.040550231933594e-05,0.195009765625,5.281448364257813e-06,18.08,25.889999999999997,215.41,65.09,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.592270399999999,4.2946176000000005,2.3773776,0.5173046875,6.578636169433594e-05,0.1951953125,8.577346801757816e-06,18.09,25.930000000000003,215.41,65.01,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.438891200000001,4.4479968,2.2239984,0.563134765625,5.480003356933594e-05,0.1907421875,7.112503051757814e-06,18.1,25.960000000000004,215.41,64.95999999999998,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.8223392,4.217928000000001,2.1473088,0.532890625,4.8208236694335935e-05,0.188701171875,7.478713989257815e-06,18.11,25.97,215.43,64.9,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.8223392,4.217928000000001,2.4540672,0.529736328125,6.358909606933593e-05,0.183134765625,6.013870239257813e-06,18.12,25.96,215.47,64.86999999999999,-0.3,-0.95,0.05,-0.01,0.07,-0.15
